module_name,modified_date,current_version,newest_version,links,notes,tag
System.Security.Cryptography.Primitives.dll,2024-10-07 19:46,,,,,
System.Collections.NonGeneric.dll,2024-10-07 19:46,,,,,
Microsoft.Win32.Registry.dll,2024-10-07 19:46,,,,,
Microsoft.AspNetCore.Mvc.Localization.dll,2024-10-07 19:46,,,,,
System.Security.Cryptography.Cng.dll,2024-10-07 19:46,,,,,
System.Xml.dll,2024-10-07 19:46,,,,,
System.Data.Common.dll,2024-10-07 19:46,,,,,
System.Linq.Queryable.dll,2024-10-07 19:46,,,,,
Microsoft.AspNetCore.Mvc.dll,2024-10-07 19:46,,,,,
System.Diagnostics.TextWriterTraceListener.dll,2024-10-07 19:46,,,,,
System.Xml.XmlSerializer.dll,2024-10-07 19:46,,,,,
Microsoft.AspNetCore.Server.Kestrel.dll,2024-10-07 19:46,,,,,
Microsoft.AspNetCore.Mvc.ViewFeatures.dll,2024-10-07 19:46,,,,,
System.Reflection.Emit.ILGeneration.dll,2024-10-07 19:46,,,,,
System.Net.Ping.dll,2024-10-07 19:46,,,,,
System.Xml.XPath.dll,2024-10-07 19:46,,,,,
System.IO.Pipes.AccessControl.dll,2024-10-07 19:46,,,,,
Microsoft.Extensions.Logging.Configuration.dll,2024-10-07 19:46,,,,,
System.Reflection.Emit.Lightweight.dll,2024-10-07 19:46,,,,,
Microsoft.Extensions.Diagnostics.HealthChecks.dll,2024-10-07 19:46,,,,,
Microsoft.AspNetCore.Http.Extensions.dll,2024-10-07 19:46,,,,,
Microsoft.Extensions.Logging.EventLog.dll,2024-10-07 19:46,,,,,
Microsoft.AspNetCore.Mvc.Core.dll,2024-10-07 19:46,,,,,
Microsoft.AspNetCore.Http.Features.dll,2024-10-07 19:46,,,,,
Microsoft.AspNetCore.WebSockets.dll,2024-10-07 19:46,,,,,
System.Runtime.Extensions.dll,2024-10-07 19:46,,,,,
Microsoft.AspNetCore.Mvc.Formatters.Json.dll,2024-10-07 19:46,,,,,
System.Web.HttpUtility.dll,2024-10-07 19:46,,,,,
Microsoft.Extensions.FileProviders.Composite.dll,2024-10-07 19:46,,,,,
System.Data.SqlClient.dll,2020-01-17 18:24,,,,,
Microsoft.AspNetCore.Mvc.Razor.dll,2024-10-07 19:46,,,,,
Microsoft.AspNetCore.Hosting.Abstractions.dll,2024-10-07 19:46,,,,,
System.Net.Security.dll,2024-10-07 19:46,,,,,
Microsoft.AspNetCore.Cors.dll,2024-10-07 19:46,,,,,
Microsoft.Extensions.Hosting.dll,2024-10-07 19:46,,,,,
